method,seed,epoch_eff,split,acc
scratch_t2,42,47.0,T1_all,0.324
scratch_t2,42,47.0,T2_nonshortcut_normal,0.46066666666666667
scratch_t2,42,47.0,T2_shortcut_masked,0.01
scratch_t2,42,47.0,T2_shortcut_normal,0.422
scratch_t2,42,48.0,T1_all,0.324
scratch_t2,42,48.0,T2_nonshortcut_normal,0.46066666666666667
scratch_t2,42,48.0,T2_shortcut_masked,0.01
scratch_t2,42,48.0,T2_shortcut_normal,0.422
scratch_t2,42,49.0,T1_all,0.32375
scratch_t2,42,49.0,T2_nonshortcut_normal,0.46066666666666667
scratch_t2,42,49.0,T2_shortcut_masked,0.01
scratch_t2,42,49.0,T2_shortcut_normal,0.422
