method,seed,epoch_eff,split,acc
scratch_t2,42,38.000000,T2_shortcut_masked,0.008000
scratch_t2,42,38.000000,T2_shortcut_normal,0.418000
scratch_t2,42,39.000000,T1_all,0.323250
scratch_t2,42,39.000000,T2_nonshortcut_normal,0.458000
scratch_t2,42,39.000000,T2_shortcut_masked,0.008000
scratch_t2,42,39.000000,T2_shortcut_normal,0.420000
scratch_t2,42,40.000000,T1_all,0.323250
scratch_t2,42,40.000000,T2_nonshortcut_normal,0.460000
scratch_t2,42,40.000000,T2_shortcut_masked,0.008000
scratch_t2,42,40.000000,T2_shortcut_normal,0.420000
scratch_t2,42,41.000000,T1_all,0.323000
scratch_t2,42,41.000000,T2_nonshortcut_normal,0.460667
scratch_t2,42,41.000000,T2_shortcut_masked,0.008000
scratch_t2,42,41.000000,T2_shortcut_normal,0.424000
scratch_t2,42,42.000000,T1_all,0.322500
scratch_t2,42,42.000000,T2_nonshortcut_normal,0.462000
scratch_t2,42,42.000000,T2_shortcut_masked,0.008000
scratch_t2,42,42.000000,T2_shortcut_normal,0.422000
scratch_t2,42,43.000000,T1_all,0.323500
scratch_t2,42,43.000000,T2_nonshortcut_normal,0.461333
scratch_t2,42,43.000000,T2_shortcut_masked,0.008000
scratch_t2,42,43.000000,T2_shortcut_normal,0.422000
scratch_t2,42,44.000000,T1_all,0.324250
scratch_t2,42,44.000000,T2_nonshortcut_normal,0.460667
scratch_t2,42,44.000000,T2_shortcut_masked,0.008000
scratch_t2,42,44.000000,T2_shortcut_normal,0.422000
scratch_t2,42,45.000000,T1_all,0.324250
scratch_t2,42,45.000000,T2_nonshortcut_normal,0.460667
scratch_t2,42,45.000000,T2_shortcut_masked,0.010000
scratch_t2,42,45.000000,T2_shortcut_normal,0.422000
scratch_t2,42,46.000000,T1_all,0.324250
scratch_t2,42,46.000000,T2_nonshortcut_normal,0.460667
scratch_t2,42,46.000000,T2_shortcut_masked,0.010000
scratch_t2,42,46.000000,T2_shortcut_normal,0.422000
scratch_t2,42,47.000000,T1_all,0.324000
scratch_t2,42,47.000000,T2_nonshortcut_normal,0.460667
scratch_t2,42,47.000000,T2_shortcut_masked,0.010000
scratch_t2,42,47.000000,T2_shortcut_normal,0.422000
scratch_t2,42,48.000000,T1_all,0.324000
scratch_t2,42,48.000000,T2_nonshortcut_normal,0.460667
scratch_t2,42,48.000000,T2_shortcut_masked,0.010000
scratch_t2,42,48.000000,T2_shortcut_normal,0.422000
scratch_t2,42,49.000000,T1_all,0.323750
scratch_t2,42,49.000000,T2_nonshortcut_normal,0.460667
scratch_t2,42,49.000000,T2_shortcut_masked,0.010000
scratch_t2,42,49.000000,T2_shortcut_normal,0.422000
